Activities,State,Category ,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Park,Area Name,State,Category,Park,Area Name,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name
," DC, MD, WV  ", National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Scenic Trail, Ice Age National Scenic Trail, Ice Age," IN, ", National Park, Indiana Dunes National Park, Indiana Dunes,,,,,,,,,,,,,,,
, ID  , National Reserve, City Of Rocks National Reserve, City Of Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Indiana Dunes National Park, Indiana Dunes," MI, ", National Park, Isle Royale National Park, Isle Royale,,,,,,,,,,,,,,,
, SC  , National Park, Congaree National Park, Congaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Isle Royale National Park, Isle Royale," LA, "," jela, designation", National Historical Park and Preserve, Jean Lafitte National Historical Park and Preserve,,,,,,,,,,,,,,,
, OR  , National Park, Crater Lake National Park, Crater Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," jela, designation", National Historical Park and Preserve, Jean Lafitte National Historical Park and Preserve," HI, ", National Historical Park, Kaloko-Honokōhau National Historical Park, Kaloko-Honokōhau,,,,,,,,,,,,,,,
, CO  , National Recreation Area, Curecanti National Recreation Area, Curecanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, Kaloko-Honokōhau National Historical Park, Kaloko-Honokōhau," AK, ", National Park & Preserve, Katmai National Park & Preserve, Katmai,,,,,,,,,,,,,,,
, OH  , National Park, Cuyahoga Valley National Park, Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park & Preserve, Katmai National Park & Preserve, Katmai," ME, ", National Monument, Katahdin Woods and Waters National Monument, Katahdin Woods and Waters,,,,,,,,,,,,,,,
, CA  , National Monument, Devils Postpile National Monument, Devils Postpile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Katahdin Woods and Waters National Monument, Katahdin Woods and Waters," AK, ", National Park, Kenai Fjords National Park, Kenai Fjords,,,,,,,,,,,,,,,
, FL  , National Memorial, De Soto National Memorial, De Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Kenai Fjords National Park, Kenai Fjords," ND, ", National Historic Site, Knife River Indian Villages National Historic Site, Knife River Indian Villages,,,,,,,,,,,,,,,
," NJ, PA  ", National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historic Site, Knife River Indian Villages National Historic Site, Knife River Indian Villages," AK, ", National Park, Kobuk Valley National Park, Kobuk Valley,,,,,,,,,,,,,,,
," CO, UT  ", National Monument, Dinosaur National Monument, Dinosaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Kobuk Valley National Park, Kobuk Valley," AK, ", National Park & Preserve, Lake Clark National Park & Preserve, Lake Clark,,,,,,,,,,,,,,,
